W28-33-Q #,Primary Q,Secondary Q,Secondary Q of,Variable,Question Category
43a,0,1,Q42a,TEACH1,Education Disruptions
43a,0,1,Q42a,TEACH2,Education Disruptions
43a,0,1,Q42a,TEACH3,Education Disruptions
43a,0,1,Q42a,TEACH4,Education Disruptions
43a,0,1,Q42a,TEACH5,Education Disruptions
43a,0,1,Q42a,TEACH6,Education Disruptions
43a,0,1,Q42a,TEACH7,Education Disruptions
43a,0,1,Q42a,TEACH8,Education Disruptions
47a,0,1,Q42a,SCHLHRS,Education Disruptions
Q43aa,0,1,Q42a,HYBRID,Education Disruptions
QPS1,1,0,,TNUM_PS,Education Disruptions
QPS3,0,1,QPS1 > 0 ,PSCHNG1,Education Disruptions
QPS3,0,1,QPS1 > 0 ,PSCHNG2,Education Disruptions
QPS3,0,1,QPS1 > 0 ,PSCHNG3,Education Disruptions
QPS3,0,1,QPS1 > 0 ,PSCHNG4,Education Disruptions
QPS3,0,1,QPS1 > 0 ,PSCHNG5,Education Disruptions
QPS3,0,1,QPS1 > 0 ,PSCHNG6,Education Disruptions
QPS3,0,1,QPS1 > 0 ,PSCHNG7,Education Disruptions
QPS4,0,1,"QPS1, QPS3",PSWHYCHG1,Education Disruptions
QPS4,0,1,"QPS1, QPS3",PSWHYCHG2,Education Disruptions
QPS4,0,1,"QPS1, QPS3",PSWHYCHG3,Education Disruptions
QPS4,0,1,"QPS1, QPS3",PSWHYCHG4,Education Disruptions
QPS4,0,1,"QPS1, QPS3",PSWHYCHG5,Education Disruptions
QPS4,0,1,"QPS1, QPS3",PSWHYCHG6,Education Disruptions
QPS4,0,1,"QPS1, QPS3",PSWHYCHG7,Education Disruptions
QPS4,0,1,"QPS1, QPS3",PSWHYCHG8,Education Disruptions
QPS4,0,1,"QPS1, QPS3",PSWHYCHG9,Education Disruptions
10,1,0,,EXPCTLOSS,Employment
11,1,0,,ANYWORK,Employment
12,0,1,Q11 = 1,KINDWORK,Employment
13,0,1,Q11 = 2,RSNNOWRKRV,Employment
13a,1,0,,TW_YN,Employment
13b,0,1,Q13a = 1,TW_COV,Employment
13c,1,0,,WKVOL,Employment
13d,0,1,Q13c = 1,SETTING,Employment
14a,1,0,,UI_APPLYRV,Employment
14b,1,0,,UI_RECVRV,Employment
14c,0,1,Q14b = 1,UI_RECVNOW,Employment
9a,1,0,,WRKLOSSRV,Employment
24,1,0,,CURFOODSUF,Food Sufficiency & Food Security
25,0,1,Q24 = 2/3/4,FOODRSNRV1,Food Sufficiency & Food Security
25,0,1,Q24 = 2/3/4,FOODRSNRV2,Food Sufficiency & Food Security
25,0,1,Q24 = 2/3/4,FOODRSNRV3,Food Sufficiency & Food Security
25,0,1,Q24 = 2/3/4,FOODRSNRV4,Food Sufficiency & Food Security
26,1,0,,FREEFOOD,Food Sufficiency & Food Security
28,1,0,,TSPNDFOOD,Food Sufficiency & Food Security
29,1,0,,TSPNDPRPD,Food Sufficiency & Food Security
24a,0,1,"Q24, Q8",CHILDFOOD,Food Sufficiency & Food Security
27a,1,0,,SNAP_YN,Food Sufficiency & Food Security
48aa,0,1,"Q42a, Q47a",SCHLFOOD,Food Sufficiency & Food Security
48bb,0,1,Q48aa = 1,SCHLFDHLP1,Food Sufficiency & Food Security
48bb,0,1,Q48aa = 1,SCHLFDHLP2,Food Sufficiency & Food Security
48bb,0,1,Q48aa = 1,SCHLFDHLP3,Food Sufficiency & Food Security
48bb,0,1,Q48aa = 1,SCHLFDHLP4,Food Sufficiency & Food Security
36,1,0,,HLTHINS1,Health Insurance & Health Access
36,1,0,,HLTHINS2,Health Insurance & Health Access
36,1,0,,HLTHINS3,Health Insurance & Health Access
36,1,0,,HLTHINS4,Health Insurance & Health Access
36,1,0,,HLTHINS5,Health Insurance & Health Access
36,1,0,,HLTHINS6,Health Insurance & Health Access
36,1,0,,HLTHINS7,Health Insurance & Health Access
36,1,0,,HLTHINS8,Health Insurance & Health Access
37,1,0,,DELAY,Health Insurance & Health Access
38,1,0,,NOTGET,Health Insurance & Health Access
-,1,0,,PRIVHLTH,Health Insurance & Health Access
-,1,0,,PUBHLTH,Health Insurance & Health Access
QTH1,1,0,,TELEHLTH,Health Insurance & Health Access
39,1,0,,TENURE,Housing
41,0,1,Q39 = 2/3,MORTCONF,Housing
39a,1,0,,LIVQTRRV,Housing
40b,0,1,Q39 = 3,RENTCUR,Housing
40c,0,1,Q39 = 2,MORTCUR,Housing
41a,0,1,Q40b = 2,EVICT,Housing
41b,0,1,Q40c = 2,FORCLOSE,Housing
-,1,0,,ABIRTH_YEAR,Not relevant
-,1,0,,AGENDER,Not relevant
-,1,0,,AHISPANIC,Not relevant
-,1,0,,ARACE,Not relevant
-,1,0,,AEDUC,Not relevant
-,1,0,,AHHLD_NUMPER,Not relevant
-,1,0,,AHHLD_NUMKID,Not relevant
-,?,0,,PWEIGHT,Not relevant
-,?,0,,HWEIGHT,Not relevant
-,?,0,,SCRAM,Not relevant
32,1,0,,ANXIOUS,Physical & Mental Wellness
33,1,0,,WORRY,Physical & Mental Wellness
34,1,0,,INTEREST,Physical & Mental Wellness
35,1,0,,DOWN,Physical & Mental Wellness
38a,1,0,,PRESCRIPT,Physical & Mental Wellness
38b,1,0,,MH_SVCS,Physical & Mental Wellness
38c,1,0,,MH_NOTGET,Physical & Mental Wellness
QD1,1,0,,SEEING,Physical & Mental Wellness
QD2,1,0,,HEARING,Physical & Mental Wellness
QD3,1,0,,REMEMBERING,Physical & Mental Wellness
QD4,1,0,,MOBILITY,Physical & Mental Wellness
14d,1,0,,SSA_RECV,Social Security Benefits
14e,1,0,,SSA_APPLYRV,Social Security Benefits
14f,0,1,Q14e = 1,SSAPGMRV1,Social Security Benefits
14f,0,1,Q14e = 1,SSAPGMRV2,Social Security Benefits
14f,0,1,Q14e = 1,SSAPGMRV3,Social Security Benefits
14f,0,1,Q14e = 1,SSAPGMRV4,Social Security Benefits
14f,0,1,Q14e = 1,SSAPGMRV5,Social Security Benefits
14g,0,1,Q14e = 2 and Q14d =/= 1,SSALIKELYRV,Social Security Benefits
14h,0,1,Q14g = 1/2/3,SSAEXPCT1,Social Security Benefits
14h,0,1,Q14g = 1/2/3,SSAEXPCT2,Social Security Benefits
14h,0,1,Q14g = 1/2/3,SSAEXPCT3,Social Security Benefits
14h,0,1,Q14g = 1/2/3,SSAEXPCT4,Social Security Benefits
14h,0,1,Q14g = 1/2/3,SSAEXPCT5,Social Security Benefits
14i,0,1,"Q14e, Q14d",SSADECISN,Social Security Benefits
15,1,0,,EIP_YN,Spending & Economic Impact Payments
19,0,1,,EIPSPND1,Spending & Economic Impact Payments
19,0,1,,EIPSPND2,Spending & Economic Impact Payments
19,0,1,,EIPSPND3,Spending & Economic Impact Payments
19,0,1,,EIPSPND4,Spending & Economic Impact Payments
19,0,1,,EIPSPND5,Spending & Economic Impact Payments
19,0,1,,EIPSPND6,Spending & Economic Impact Payments
19,0,1,,EIPSPND7,Spending & Economic Impact Payments
19,0,1,,EIPSPND8,Spending & Economic Impact Payments
19,0,1,,EIPSPND9,Spending & Economic Impact Payments
19,0,1,,EIPSPND10,Spending & Economic Impact Payments
19,0,1,,EIPSPND11,Spending & Economic Impact Payments
19,0,1,,EIPSPND12,Spending & Economic Impact Payments
19,0,1,,EIPSPND13,Spending & Economic Impact Payments
20,1,0,,SPNDSRC1,Spending & Economic Impact Payments
20,1,0,,SPNDSRC2,Spending & Economic Impact Payments
20,1,0,,SPNDSRC3,Spending & Economic Impact Payments
20,1,0,,SPNDSRC4,Spending & Economic Impact Payments
20,1,0,,SPNDSRC5,Spending & Economic Impact Payments
20,1,0,,SPNDSRC6,Spending & Economic Impact Payments
20,1,0,,SPNDSRC7,Spending & Economic Impact Payments
20,1,0,,SPNDSRC8,Spending & Economic Impact Payments
20,1,0,,SPNDSRC9,Spending & Economic Impact Payments
15a,0,1,Q15 = 1,EIPRV,Spending & Economic Impact Payments
19a,1,0,,EXPNS_DIF,Spending & Economic Impact Payments
19b,1,0,,CHNGSHOP1,Spending & Economic Impact Payments
19b,1,0,,CHNGSHOP2,Spending & Economic Impact Payments
19b,1,0,,CHNGSHOP3,Spending & Economic Impact Payments
19b2,1,0,,CHNGSVCS1,Spending & Economic Impact Payments
19b2,1,0,,CHNGSVCS2,Spending & Economic Impact Payments
19b2,1,0,,CHNGSVCS3,Spending & Economic Impact Payments
19b3,1,0,,CASHUSE,Spending & Economic Impact Payments
19bb,0,1,Q19b = 1,CHNGSHP1ML,Spending & Economic Impact Payments
19bb,0,1,Q19b = 1,CHNGSHP2ML,Spending & Economic Impact Payments
19bb,0,1,Q19b = 1,CHNGSHP3ML,Spending & Economic Impact Payments
19bb,0,1,Q19b = 1,CHNGSVC1ML,Spending & Economic Impact Payments
19bb,0,1,Q19b = 1,CHNGSVC2ML,Spending & Economic Impact Payments
19bb,0,1,Q19b = 1,CHNGSVC3ML,Spending & Economic Impact Payments
19c,0,1,"Q19b, Q19b2, Q19b3",WHYCHNGD1,Spending & Economic Impact Payments
19c,0,1,"Q19b, Q19b2, Q19b3",WHYCHNGD2,Spending & Economic Impact Payments
19c,0,1,"Q19b, Q19b2, Q19b3",WHYCHNGD3,Spending & Economic Impact Payments
19c,0,1,"Q19b, Q19b2, Q19b3",WHYCHNGD4,Spending & Economic Impact Payments
19c,0,1,"Q19b, Q19b2, Q19b3",WHYCHNGD5,Spending & Economic Impact Payments
19c,0,1,"Q19b, Q19b2, Q19b3",WHYCHNGD6,Spending & Economic Impact Payments
19c,0,1,"Q19b, Q19b2, Q19b3",WHYCHNGD7,Spending & Economic Impact Payments
19c,0,1,"Q19b, Q19b2, Q19b3",WHYCHNGD8,Spending & Economic Impact Payments
19c,0,1,"Q19b, Q19b2, Q19b3",WHYCHNGD9,Spending & Economic Impact Payments
19c,0,1,"Q19b, Q19b2, Q19b3",WHYCHNGD10,Spending & Economic Impact Payments
19c,0,1,"Q19b, Q19b2, Q19b3",WHYCHNGD11,Spending & Economic Impact Payments
19c,0,1,"Q19b, Q19b2, Q19b3",WHYCHNGD12,Spending & Economic Impact Payments
19c,0,1,"Q19b, Q19b2, Q19b3",WHYCHNGD13,Spending & Economic Impact Payments
QV1,1,0,,RECVDVACC,Vaccination Intention
QV2,0,1,QV1 (1),DOSES,Vaccination Intention
QV3,0,1,QV1 (2),GETVACRV,Vaccination Intention
QV4,0,1,"QV2, QV3",WHYNOT1,Vaccination Intention
QV4,0,1,"QV2, QV3",WHYNOT2,Vaccination Intention
QV4,0,1,"QV2, QV3",WHYNOT3,Vaccination Intention
QV4,0,1,"QV2, QV3",WHYNOT4,Vaccination Intention
QV4,0,1,"QV2, QV3",WHYNOT5,Vaccination Intention
QV4,0,1,"QV2, QV3",WHYNOT6,Vaccination Intention
QV4,0,1,"QV2, QV3",WHYNOT7,Vaccination Intention
QV4,0,1,"QV2, QV3",WHYNOT8,Vaccination Intention
QV4,0,1,"QV2, QV3",WHYNOT9,Vaccination Intention
QV4,0,1,"QV2, QV3",WHYNOT10,Vaccination Intention
QV4,0,1,"QV2, QV3",WHYNOT11,Vaccination Intention
QV5,0,1,QV4 (3),WHYNOTB1,Vaccination Intention
QV5,0,1,QV4 (3),WHYNOTB2,Vaccination Intention
QV5,0,1,QV4 (3),WHYNOTB3,Vaccination Intention
QV5,0,1,QV4 (3),WHYNOTB4,Vaccination Intention
QV5,0,1,QV4 (3),WHYNOTB5,Vaccination Intention
QV5,0,1,QV4 (3),WHYNOTB6,Vaccination Intention
QV6,1,0,QV4 (3),HADCOVID,Vaccination Intention
